Organização,Deployment,accounts v2.0,business v2.0,consents v2.0,consents v2.1,credit-card v2.0,financings v2.0,invoice-financings v2.0,loans v2.0,personal v2.0,resources v2.0,resources v2.1,unarranged-overdraft v2.0
BANCO BOCOM BBM S.A.,BOCOM-BBM-Open-Banking-2.1.0,,,,[21-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/15114366_BOCOM-BBM-Open-Banking-2.1.0_consents_v2.1_21-09-2023.json),,,,,,,[21-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/15114366_BOCOM-BBM-Open-Banking-2.1.0_resources_v2.1_21-09-2023.json),
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,nubank-fase-4B-1.0,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/18236120_nubank-fase-4B-1.0_consents_v2.1_26-09-2023.json),,,,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/18236120_nubank-fase-4B-1.0_resources_v2.1_26-09-2023.json),
PICPAY SERVICOS S.A.,4B,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/22896431_4B_consents_v2.1_25-09-2023.json),,,,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/22896431_4B_resources_v2.1_25-09-2023.json),
BANCO DIGIO S.A.,Digio---Consents-v2.1.0,,,,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/27098060_Digio---Consents-v2.1.0_consents_v2.1_19-09-2023.json),,,,,,,,
BANCO DIGIO S.A.,Digio-Uber---Consents-v2.1.0,,,,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/27098060_Digio-Uber---Consents-v2.1.0_consents_v2.1_19-09-2023.json),,,,,,,,
BANCO BTG PACTUAL S.A.,BTG-Banking-Fase-4B,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Banking-Fase-4B_consents_v2.1_28-09-2023.json),,,,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Banking-Fase-4B_resources_v2.1_28-09-2023.json),
BANCO BTG PACTUAL S.A.,BTG-Corporate-Fase-4B,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Corporate-Fase-4B_consents_v2.1_28-09-2023.json),,,,,,,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Corporate-Fase-4B_resources_v2.1_22-09-2023.json),
BANCO BTG PACTUAL S.A.,BTG-Empresas-Fase-4B,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Empresas-Fase-4B_consents_v2.1_28-09-2023.json),,,,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Empresas-Fase-4B_resources_v2.1_28-09-2023.json),
BANCO BTG PACTUAL S.A.,BTG-Investimentos-Fase-4B,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Investimentos-Fase-4B_consents_v2.1_28-09-2023.json),,,,,,,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Investimentos-Fase-4B_resources_v2.1_22-09-2023.json),
BANCO BTG PACTUAL S.A.,BTG-WM-Fase-4B,,,,[23-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-WM-Fase-4B_consents_v2.1_23-09-2023.json),,,,,,,[23-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-WM-Fase-4B_resources_v2.1_23-09-2023.json),
BANCO XP S.A.,BANCO-XP-S.A.-Open-Banking-2.0,,,,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/33264668_BANCO-XP-S.A.-Open-Banking-2.0_consents_v2.1_22-09-2023.json),,,,,,,,
BANCO CITIBANK S.A.,V2.1.0,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/33479023_V2.1.0_consents_v2.1_25-09-2023.json),,,,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/33479023_V2.1.0_resources_v2.1_25-09-2023.json),
GERU SOCIEDADE DE CREDITO DIRETO SA,consents-4b-test-plan-v2,,,,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/37763847_consents-4b-test-plan-v2_consents_v2.1_19-09-2023.json),,,,,,,,
BANCO SAFRA S.A.,Open-Finance-Brazil,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/58160789_Open-Finance-Brazil_consents_v2.1_26-09-2023.json),,,,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/58160789_Open-Finance-Brazil_resources_v2.1_26-09-2023.json),
ITAÚ UNIBANCO S.A.,consents-4b-test-plan-v2,,,,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/60701190_consents-4b-test-plan-v2_consents_v2.1_20-09-2023.json),,,,,,,,
BANCO BRADESCO SA,Banco-Bradesco---Open-Finance-Brasil,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/60746948_Banco-Bradesco---Open-Finance-Brasil_consents_v2.1_25-09-2023.json),,,,,,,[23-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/60746948_Banco-Bradesco---Open-Finance-Brasil_resources_v2.1_23-09-2023.json),
BANCO BMG S.A.,Consents---v2.1.0,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/61186680_Consents---v2.1.0_consents_v2.1_25-09-2023.json),,,,,,,,
BANCO PAULISTA S.A.,Banco-Paulista-V1.0,,,,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/61820817_Banco-Paulista-V1.0_consents_v2.1_03-10-2023.json),,,,,,,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/61820817_Banco-Paulista-V1.0_resources_v2.1_03-10-2023.json),
Agora Corretora de Titulos e Valores Mobiliarios SA,Ágora---Open-Finance-Brasil,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/74014747_Ágora---Open-Finance-Brasil_consents_v2.1_26-09-2023.json),,,,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/74014747_Ágora---Open-Finance-Brasil_resources_v2.1_25-09-2023.json),
BANCO SANTANDER (BRASIL) S.A.,5.1.9,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/90400888_5.1.9_consents_v2.1_28-09-2023.json),,,,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/90400888_5.1.9_resources_v2.1_28-09-2023.json),
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banrisul-Open-Finance-4B-v1.0.0-,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/92702067_Banrisul-Open-Finance-4B-v1.0.0-_consents_v2.1_26-09-2023.json),,,,,,,[21-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/92702067_Banrisul-Open-Finance-4B-v1.0.0-_resources_v2.1_21-09-2023.json),
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Credit operations discounted credit rights api test 2.0.1,,,,,[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/02038232_Credit%20operations%20discounted%20credit%20rights%20api%20test%202.0.1_credit-card_v2-OL_30-09-2022.zip),,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/02038232_Credit%20operations%20discounted%20credit%20rights%20api%20test%202.0.1_invoice-financings_v2-OL_29-09-2022.zip),,,,,
Neon Pagamentos S.A.,credit-cards-test-plan-v2,,,,,[02-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/20855875_credit-cards-test-plan-v2_credit-card_v2_02-08-2023.json),,,,,,,
Chicago Advisory Partners,Mock Bank Phase 2v2,,,,,[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/43142666_Mock%20Bank%20Phase%202v2_credit-card_v2_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/43142666_Mock%20Bank%20Phase%202v2_financings_v2_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/invoice-financings/2.0.1/43142666_Mock%20Bank%20Phase%202v2_invoice-financings_v2_21-11-2022.zip),[21-11-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/43142666_Mock%20Bank%20Phase%202v2_loans_v2_21-11-2022.zip),,,,
BANCO SOFISA S.A.,04-04-2023,,,,,[14-04-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/60889128_04-04-2023_credit-card_v2-OL_14-04-2023.zip),,,,,,,
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Financings api test 2.0.1,,,,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/02038232_Financings%20api%20test%202.0.1_financings_v2-OL_29-09-2022.zip),,,,,,
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Loans api test 2.0.1,,,,,,,,[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/02038232_Loans%20api%20test%202.0.1_loans_v2-OL_30-09-2022.zip),,,,
BANCO SOFISA S.A.," Banco Sofisa 20-12-2022",,,,,,,,[22-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/60889128_%20Banco%20Sofisa%2020-12-2022_loans_v2-OL_22-12-2022.zip),[22-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/60889128_%20Banco%20Sofisa%2020-12-2022_personal_v2-OL_22-12-2022.zip),[22-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/60889128_%20Banco%20Sofisa%2020-12-2022_resources_v2-OL_22-12-2022.zip),,[22-12-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/60889128_%20Banco%20Sofisa%2020-12-2022_unarranged-overdraft_v2-OL_22-12-2022.zip)
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Personal Customer Data api test 2.0.1,,,,,,,,,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/02038232_Personal%20Customer%20Data%20api%20test%202.0.1_personal_v2-OL_10-10-2022.zip),,,
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Resources api test 2.0.1,,,,,,,,,,[11-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/02038232_Resources%20api%20test%202.0.1_resources_v2-OL_11-10-2022.zip),,
BANCO XP S.A.,BANCO XP S.A. Open Banking,,,,,,,,,,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/33264668_BANCO%20XP%20S.A.%20Open%20Banking_resources_v2-OL_06-10-2022.zip),,
BANCO BRADESCO SA,next - Open Finance Brazil v1.0 ,,,,,,,,,,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/60746948_next%20-%20Open%20Finance%20Brazil%20v1.0%20_resources_v2-OL_04-10-2022.zip),,
BANCO COOPERATIVO SICREDI S.A.,-v1.0.1,,,,,,,,,,,[27-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/01181521_-v1.0.1_resources_v2.1_27-09-2023.json),
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Fase-4B-v1.0.0-rc1.0,,,,,,,,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/02038232_Fase-4B-v1.0.0-rc1.0_resources_v2.1_26-09-2023.json),
BANCO DO NORDESTE DO BRASIL S.A.,2.1.0,,,,,,,,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/07237373_2.1.0_resources_v2.1_28-09-2023.json),
BANCO PAN S.A.,Banco-Pan-OpenFinance-V1.1,,,,,,,,,,,[17-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/59285411_Banco-Pan-OpenFinance-V1.1_resources_v2.1_17-10-2023.json),
ITAÚ UNIBANCO S.A.,resources-4b-test-plan-v2,,,,,,,,,,,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/60701190_resources-4b-test-plan-v2_resources_v2.1_20-09-2023.json),
BANCO BMG S.A.,Resources---v2.1.0,,,,,,,,,,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/61186680_Resources---v2.1.0_resources_v2.1_25-09-2023.json),
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Unarranged overdraft api test 2.0.1,,,,,,,,,,,,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/02038232_Unarranged%20overdraft%20api%20test%202.0.1_unarranged-overdraft_v2-OL_06-10-2022.zip)
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - BUSINESS,,,,,,,,,,,,[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0%20-%20BUSINESS_unarranged-overdraft_v2-OL_05-10-2022.zip)
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0,,,,,,,,,,,,[27-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/unarranged-overdraft/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0_unarranged-overdraft_v2_27-09-2022.zip)
