Id da Organização,Deployment,API,Version,Data
33264668,Payments API V 2.0.0 - INIC-DICT-MANU-QRES-QRDN,payments,v2,31-01-2023
33479023,Open Banking Brazil V2.0,payments,v2,31-01-2023
33923798,OpenFinance-BancoMaster 2.0,payments,v2,01-02-2023
34335592,ÓTIMO SCD OBB V2,payments,v2,30-01-2023
36586946,Crystal OFB v2.0.0,payments,v2,14-02-2023
37241230,Open Banking Brazil v2.0.0,payments,v2,14-02-2023
37715993,Accredito-Lina-OPFI-v.1.0.0,payments,v2,22-03-2023
37880206,Cora Auth Server 1.0.1,payments,v2,31-01-2023
38129006,Numbrs Open Finance v2.0.0,payments,v2,01-02-2023
40654622,Open Finance v2.0.0,payments,v2,01-02-2023
43180355,Open Banking - Fase 3 - V2,payments,v2,01-02-2023
45246410,Banco Genial - Go!BaaS 1.3,payments,v2,01-02-2023
53518684,V 2.0,payments,v2,31-01-2023
54403563,Banco Arbi 1.1.0,payments,v2,10-03-2023
58160789,Safra Open Finance 2.0,payments,v2,30-01-2023
58616418,Banco Fibra Authorization Server v2.0,payments,v2,27-01-2023
59285411,Banco Pan OpenFinance v1.2,payments,v2,30-01-2023
59588111,banco BV - Certificação API Payments  v2.0.0,payments,v2,31-01-2023
60701190,Open Banking Brazil Payments v2.0.0,payments,v2,31-01-2023
60746948," NEXT",payments,v2,26-01-2023
60746948,Bradesco PF,payments,v2,26-01-2023
60746948,Bradesco PJ,payments,v2,26-01-2023
60779196,Payments v2.0.0,payments,v2,06-02-2023
60850229,Payments API V2 - INIC DICT MANU QRES QRDN,payments,v2,03-02-2023
60889128,V2.0,payments,v2,31-01-2023
61024352,Payments API V2 - INIC DICT MANU QRES QRDN,payments,v2,06-02-2023
61186680,Banco BMG Open Banking 2.0.1,payments,v2,01-02-2023
62109566,Payments 2.0,payments,v2,27-01-2023
62232889,Banco Daycoval - Open Banking Brazil V2.0,payments,v2,30-01-2023
68900810,Banco Rendimento – Open Banking Brazil V2.0,payments,v2,31-01-2023
71027866,Open Banking-Banco Bs2 1.0,payments,v2,07-02-2023
76461557,23.0.1.1,payments,v2,30-01-2023
78157146,Crystal OFB v2.0.0,payments,v2,14-02-2023
78632767,Ourinvest Openbanking-v3,payments,v2,06-02-2023
81723108,5.0.8 build,payments,v2,02-02-2023
82639451,Central Ailos Open Finance 1.0.0,payments,v2,08-02-2023
90400888,Open Banking Brazil v2.0.0,payments,v2,31-01-2023
92702067,v2.0.0,payments,v2,26-01-2023
92874270," 2.0.0",payments,v2,06-03-2023
92894922,Release Fase 3 V2,payments,v2,14-02-2023
