Organização,Deployment,payments
BONUSPAGO SOCIEDADE DE CREDITO DIRETO S.A.,Crystal OFB v2.0.0,[14-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/36586946_Crystal%20OFB%20v2.0.0_payments_v2_14-02-2023.json)
SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.,Open Banking Brazil v2.0.0,[14-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/37241230_Open%20Banking%20Brazil%20v2.0.0_payments_v2_14-02-2023.json)
ACCREDITO - SOCIEDADE DE CREDITO DIRETO S.A.,Accredito-Lina-OPFI-v.1.0.0,[22-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/37715993_Accredito-Lina-OPFI-v.1.0.0_payments_v2_22-03-2023.json)
CORA SOCIEDADE DE CRÉDITO DIRETO S.A.,Cora Auth Server 1.0.1,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/37880206_Cora%20Auth%20Server%201.0.1_payments_v2_31-01-2023.json)
NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.,Numbrs Open Finance v2.0.0,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/38129006_Numbrs%20Open%20Finance%20v2.0.0_payments_v2_01-02-2023.json)
Trinus Sociedade de Credito Direto S.A.,Open Finance v2.0.0,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/40654622_Open%20Finance%20v2.0.0_payments_v2_01-02-2023.json)
"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",Open Banking - Fase 3 - V2,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/43180355_Open%20Banking%20-%20Fase%203%20-%20V2_payments_v2_01-02-2023.json)
BANCO GENIAL S.A.,Banco Genial - Go!BaaS 1.3,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/45246410_Banco%20Genial%20-%20Go!BaaS%201.3_payments_v2_01-02-2023.json)
BANCO HSBC S.A.,V 2.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/53518684_V%202.0_payments_v2_31-01-2023.json)
BANCO ARBI S.A.,Banco Arbi 1.1.0,[10-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/54403563_Banco%20Arbi%201.1.0_payments_v2_10-03-2023.json)
BANCO SAFRA S.A.,Safra Open Finance 2.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/58160789_Safra%20Open%20Finance%202.0_payments_v2_30-01-2023.json)
BANCO FIBRA S.A.,Banco Fibra Authorization Server v2.0,[27-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/58616418_Banco%20Fibra%20Authorization%20Server%20v2.0_payments_v2_27-01-2023.json)
BANCO PAN S.A.,Banco Pan OpenFinance v1.2,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/59285411_Banco%20Pan%20OpenFinance%20v1.2_payments_v2_30-01-2023.json)
BANCO VOTORANTIM S.A.,banco BV - Certificação API Payments  v2.0.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/59588111_banco%20BV%20-%20Certificação%20API%20Payments %20v2.0.0_payments_v2_31-01-2023.json)
ITAÚ UNIBANCO S.A.,Open Banking Brazil Payments v2.0.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60701190_Open%20Banking%20Brazil%20Payments%20v2.0.0_payments_v2_31-01-2023.json)
BANCO BRADESCO SA," NEXT",[26-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60746948_%20NEXT_payments_v2_26-01-2023.json)
BANCO BRADESCO SA,Bradesco PF,[26-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60746948_Bradesco%20PF_payments_v2_26-01-2023.json)
BANCO BRADESCO SA,Bradesco PJ,[26-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60746948_Bradesco%20PJ_payments_v2_26-01-2023.json)
"CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS",Payments v2.0.0,[06-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60779196_Payments%20v2.0.0_payments_v2_06-02-2023.json)
OMNI BANCO SA,Payments API V2 - INIC DICT MANU QRES QRDN,[03-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60850229_Payments%20API%20V2%20-%20INIC%20DICT%20MANU%20QRES%20QRDN_payments_v2_03-02-2023.json)
BANCO SOFISA S.A.,V2.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/60889128_V2.0_payments_v2_31-01-2023.json)
BANCO VOITER SA,Payments API V2 - INIC DICT MANU QRES QRDN,[06-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/61024352_Payments%20API%20V2%20-%20INIC%20DICT%20MANU%20QRES%20QRDN_payments_v2_06-02-2023.json)
BANCO BMG S.A.,Banco BMG Open Banking 2.0.1,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/61186680_Banco%20BMG%20Open%20Banking%202.0.1_payments_v2_01-02-2023.json)
CREDISAN COOPERATIVA DE CRÉDITO,Payments 2.0,[27-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/62109566_Payments%202.0_payments_v2_27-01-2023.json)
BANCO DAYCOVAL S.A.,Banco Daycoval - Open Banking Brazil V2.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/62232889_Banco%20Daycoval%20-%20Open%20Banking%20Brazil%20V2.0_payments_v2_30-01-2023.json)
BANCO RENDIMENTO S.A.,Banco Rendimento – Open Banking Brazil V2.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/68900810_Banco%20Rendimento%20–%20Open%20Banking%20Brazil%20V2.0_payments_v2_31-01-2023.json)
BANCO BS2 S.A.,Open Banking-Banco Bs2 1.0,[07-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/71027866_Open%20Banking-Banco%20Bs2%201.0_payments_v2_07-02-2023.json)
COOPERATIVA DE CRÉDITO RURAL COOPAVEL,23.0.1.1,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/76461557_23.0.1.1_payments_v2_30-01-2023.json)
CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL,Crystal OFB v2.0.0,[14-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/78157146_Crystal%20OFB%20v2.0.0_payments_v2_14-02-2023.json)
BANCO OURINVEST S.A.,Ourinvest Openbanking-v3,[06-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/78632767_Ourinvest%20Openbanking-v3_payments_v2_06-02-2023.json)
CREDICOAMO CREDITO RURAL COOPERATIVA,5.0.8 build,[02-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/81723108_5.0.8%20build_payments_v2_02-02-2023.json)
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,Central Ailos Open Finance 1.0.0,[08-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/82639451_Central%20Ailos%20Open%20Finance%201.0.0_payments_v2_08-02-2023.json)
BANCO SANTANDER (BRASIL) S.A.,Open Banking Brazil v2.0.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/90400888_Open%20Banking%20Brazil%20v2.0.0_payments_v2_31-01-2023.json)
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,v2.0.0,[26-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/92702067_v2.0.0_payments_v2_26-01-2023.json)
BANCO DIGIMAIS S.A.," 2.0.0",[06-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/92874270_%202.0.0_payments_v2_06-03-2023.json)
BANCO ORIGINAL S.A.,Release Fase 3 V2,[14-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/92894922_Release%20Fase%203%20V2_payments_v2_14-02-2023.json)
