Organisation,Deployment,Payments
Banco Itaucard S.A.,Itaú Unibanco v1.0,[16 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Itau_Unibanco_S-Payments.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=uvQ8OXdmYX3EI) PASS
Banco Itaucard S.A.,Baas Payments v1,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banco_Itaucard_S.A.-Baas_Payments_v1-API-PAYMENTS-private_key_jwt-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=wLZ0ajQ7Aicqv) PASS
Banco Itaucard S.A.,Iti - Payments v1,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banco_Itaucard_S.A.-Iti_-_Payments_v1-API-PAYMENTS-private_key_jwt-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=GCLpXaaN5HnwW) PASS
Banco Citibank S.A.,Open Banking Brazil V1.0,[11 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Citibank_Payments_api_phase_1_test-private_key_jwt-by_value-plain_response-tNSyhcIrO9mMt-11-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=tNSyhcIrO9mMt) PASS
Uniprime Central,Uniprime Central Open Banking 1.0.0,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Uniprime_Central-Uniprime_Central_Open_Banking_1_0_0-API-Payment-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=1HJwKVN0YMiBP) PASS
Banco Original,Fase - 3 - Payments,[16 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Payments_api_phase_1_test-mtls-by_value-plain_response-FcyYFzu2N0UTz-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=FcyYFzu2N0UTz) PASS
Banco ABC Brasil S.A.,v1.0.0,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banco_ABC_Brasil-OpenBanking-API_PAYMENTS_-private_key_jwt-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=hbKj3smuCOpQD) PASS
Caixa Economica Federal,Caixa Economica Federal,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/CAIXA-SIDPN-API-Payments-private_key_jwt-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=NLL4XbTZ9wjVe) PASS
Banco Bradesco S.A.,Banco Bradesco PF - Open Finance Brazil v1.0,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Bradesco-BradescoPF-API-PAYMENTS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=Nbu7rm6YUU3VV) PASS
Banco Bradesco S.A.,NEXT - Open Finance Brazil v1.0,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Payments_api_phase_1_test-mtls-by_value-plain_response-LGjYm30HYPtsO-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=8u9aG6HJvriIA) CONDITIONAL PASS
Banco Triangulo S.A.,Tribanco Open Banking 1.0.0,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Tribanco-Open_Banking_Brasil-API-PAYMENTS-private_key_jwt-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=u3I0By6zVvK4n) CONDITIONAL PASS
